sku number,sku name,product line code,product line name,cmr product line,sub platform
F110-2148-308,"Pump Assembly, BLDC, Digital 313 in 520 Opening Std. (No stop on open)",37I,CONTROLLER BEA,SUTAutomation,BEA
F110-2148-105-REV-1,"Pump Assembly, Digital 114 in 520 Opening",37I,CONTROLLER BEA,SUTAutomation,BEA
F110-2148-505,"Pump Assembly, Digital 520 Standard, 2 roller, 2.4mm WT tubing, not Stop on Open (digital - for all TB versions)",37I,CONTROLLER BEA,SUTAutomation,BEA
F110-2148-507,"Pump Assembly, Digital 520, Single Pump Head, Std. (no stop on open)",37I,CONTROLLER BEA,SUTAutomation,BEA
SUT16678,"Pump Jumper (SUA-PRDP-027), MSD Ireland (Carlow) Production",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B108234-I,PUMP LINE,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B104750-I,PUMP LINE,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SUT00016,PUMP LINE 10 3/8” FTA,3BO,HC DYNACHROM,HardwareConsumables,BEA
SUT00040,PUMP LINE 20 FTA,3BO,HC DYNACHROM,HardwareConsumables,BEA
SUT00017,PUMP LINE 30 3/8” FTA,3BO,HC DYNACHROM,HardwareConsumables,BEA
F400-2067-002-REV-1,Pump Motor 313VDL/D-Drive Only-350 RPM 24VDC -Brus,37I,CONTROLLER BEA,SUTAutomation,BEA
B107821-I,PUMP OUTLET TUBE,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SUT00170,"PUMP SET, LUER",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH00049-I,"PUMP SET, VENTED SPIKE",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
F100-2226-931,"Pump Tower, Primary, Digital 3 MasterFlex with CSM Pump Heads",37L,H BEA,BEAHardware,BEA
F100-2226-923,"Pump Tower, Secondary, Digital 2 MasterFlex with CSM Pump Heads",37L,H BEA,BEAHardware,BEA
SUT19818,"Pump Transfer Kits TC-AQG, Patheon",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B7383.01,"Pump Tube 1/2 ID, Novo Nordisk",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B7382.01,"PUMP TUBE 1/8"" ID, NOVO NORDISK",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B116702-I,PUMP TUBE SET,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B2506601,PUMP TUBE SET 3 PUMP TUBE SET 3,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B4722.01,"PUMP TUBE SET, AGC BIOLOGICS",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B22174.01,"PUMP TUBING - PSP (TFS) - 19995320, ORGANON",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B15434.01,"Pump Tubing 12.7 x 3.2, Patheon",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B15436.01,"Pump Tubing 3.2 X 1.6 Patheon, Patheon",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B15435.01,"Pump Tubing 6.4 X 1.6, Patheon",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B19250.01,"PUMP TUBING 6.4 X 1.6, PATHEON BIOLOGICS",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
PROSUT111220,"Pump Tubing Assembly, Astrazeneca",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SUT111572,"PUMP TUBING SET 3/8"" ID FOR DILUTION BUFFER w/ 3/4"" TC CONN, JANSSEN BIOLOGICS",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B6550.01,Pump tubing w/Lynx & aseptic conn Chugai,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SUT15530,"Pump Wye, Long  , Merk Sharpe And Dohme",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SUT15520,"PUMP WYE, MERCK",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
F400-2150-001,"Pumphead, 313DSI, 3 Roller with Indicator Switch",37I,CONTROLLER BEA,SUTAutomation,BEA
F400-2362-001,"Pumphead, 520R, Cont Tube, 1.6mm WT",37I,CONTROLLER BEA,SUTAutomation,BEA
F400-2147-001,"Pumphead, OEM, 114DV, Black with View Slots",37I,CONTROLLER BEA,SUTAutomation,BEA
B116598-I,PUMPING TUBE SET,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B106252-I,PUMPLINE,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SUT16032,"PUMPLINE FOR TEXMACS POOLING, JANSSEN BIOLOGICS",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SUT16004,"PUMPSET FOR DILUTION BUFFER, JANSSEN",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B18012.01,"Pumpsil Tubing w/ HT AQG & Steam-Thru (TUA-VIII-0.75""-3M-BG-PT), Lonza AG",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
